stateA,stateB,Direction,Value,A_state,A_long,A_lat,B_state,B_long,B_lat
Nevada,Alabama,out-mover,730,Nevada,-116.6312,39.3289,Alabama,-86.8287,32.7794
New Hampshire,Alabama,in-mover,189,New Hampshire,-71.5811,43.6805,Alabama,-86.8287,32.7794
New Hampshire,Alabama,out-mover,117,New Hampshire,-71.5811,43.6805,Alabama,-86.8287,32.7794
New Jersey,Alabama,in-mover,194,New Jersey,-74.6728,40.1907,Alabama,-86.8287,32.7794
New Jersey,Alabama,out-mover,784,New Jersey,-74.6728,40.1907,Alabama,-86.8287,32.7794
New Mexico,Alabama,in-mover,742,New Mexico,-106.1126,34.4071,Alabama,-86.8287,32.7794
New Mexico,Alabama,out-mover,543,New Mexico,-106.1126,34.4071,Alabama,-86.8287,32.7794
New York,Alabama,in-mover,1069,New York,-75.5268,42.9538,Alabama,-86.8287,32.7794
New York,Alabama,out-mover,2507,New York,-75.5268,42.9538,Alabama,-86.8287,32.7794
North Carolina,Alabama,in-mover,3947,North Carolina,-79.3877,35.5557,Alabama,-86.8287,32.7794
North Carolina,Alabama,out-mover,4092,North Carolina,-79.3877,35.5557,Alabama,-86.8287,32.7794
North Dakota,Alabama,in-mover,50,North Dakota,-100.4659,47.4501,Alabama,-86.8287,32.7794
North Dakota,Alabama,out-mover,411,North Dakota,-100.4659,47.4501,Alabama,-86.8287,32.7794
Ohio,Alabama,in-mover,2115,Ohio,-82.7937,40.2862,Alabama,-86.8287,32.7794
Ohio,Alabama,out-mover,1914,Ohio,-82.7937,40.2862,Alabama,-86.8287,32.7794
Oklahoma,Alabama,in-mover,610,Oklahoma,-97.4943,35.5889,Alabama,-86.8287,32.7794
Oklahoma,Alabama,out-mover,849,Oklahoma,-97.4943,35.5889,Alabama,-86.8287,32.7794
Oregon,Alabama,in-mover,295,Oregon,-120.5583,43.9336,Alabama,-86.8287,32.7794
Oregon,Alabama,out-mover,356,Oregon,-120.5583,43.9336,Alabama,-86.8287,32.7794
Pennsylvania,Alabama,in-mover,1631,Pennsylvania,-77.7996,40.8781,Alabama,-86.8287,32.7794
Pennsylvania,Alabama,out-mover,1880,Pennsylvania,-77.7996,40.8781,Alabama,-86.8287,32.7794
Puerto Rico,Alabama,in-mover,265,Puerto Rico,-66.43,18.222,Alabama,-86.8287,32.7794
Puerto Rico,Alabama,out-mover,431,Puerto Rico,-66.43,18.222,Alabama,-86.8287,32.7794
Rhode Island,Alabama,in-mover,82,Rhode Island,-71.5562,41.6762,Alabama,-86.8287,32.7794
Rhode Island,Alabama,out-mover,230,Rhode Island,-71.5562,41.6762,Alabama,-86.8287,32.7794
South Carolina,Alabama,in-mover,2464,South Carolina,-80.8964,33.9169,Alabama,-86.8287,32.7794
South Carolina,Alabama,out-mover,2096,South Carolina,-80.8964,33.9169,Alabama,-86.8287,32.7794
South Dakota,Alabama,in-mover,116,South Dakota,-100.2263,44.4443,Alabama,-86.8287,32.7794
South Dakota,Alabama,out-mover,106,South Dakota,-100.2263,44.4443,Alabama,-86.8287,32.7794
Tennessee,Alabama,in-mover,8468,Tennessee,-86.3505,35.858,Alabama,-86.8287,32.7794
Tennessee,Alabama,out-mover,9476,Tennessee,-86.3505,35.858,Alabama,-86.8287,32.7794
Texas,Alabama,in-mover,7811,Texas,-99.3312,31.4757,Alabama,-86.8287,32.7794
Texas,Alabama,out-mover,7421,Texas,-99.3312,31.4757,Alabama,-86.8287,32.7794
Utah,Alabama,in-mover,496,Utah,-111.6703,39.3055,Alabama,-86.8287,32.7794
Utah,Alabama,out-mover,809,Utah,-111.6703,39.3055,Alabama,-86.8287,32.7794
Vermont,Alabama,in-mover,89,Vermont,-72.6658,44.0687,Alabama,-86.8287,32.7794
Vermont,Alabama,out-mover,35,Vermont,-72.6658,44.0687,Alabama,-86.8287,32.7794
Virginia,Alabama,in-mover,3021,Virginia,-78.8537,37.5215,Alabama,-86.8287,32.7794
Virginia,Alabama,out-mover,4136,Virginia,-78.8537,37.5215,Alabama,-86.8287,32.7794
Washington,Alabama,in-mover,1041,Washington,-120.4472,47.3826,Alabama,-86.8287,32.7794
Washington,Alabama,out-mover,1369,Washington,-120.4472,47.3826,Alabama,-86.8287,32.7794
West Virginia,Alabama,in-mover,218,West Virginia,-80.6227,38.6409,Alabama,-86.8287,32.7794
West Virginia,Alabama,out-mover,431,West Virginia,-80.6227,38.6409,Alabama,-86.8287,32.7794
Wisconsin,Alabama,in-mover,659,Wisconsin,-89.9941,44.6243,Alabama,-86.8287,32.7794
Wisconsin,Alabama,out-mover,958,Wisconsin,-89.9941,44.6243,Alabama,-86.8287,32.7794
Wyoming,Alabama,in-mover,530,Wyoming,-107.5512,42.9957,Alabama,-86.8287,32.7794
Wyoming,Alabama,out-mover,176,Wyoming,-107.5512,42.9957,Alabama,-86.8287,32.7794
Alabama,Alaska,in-mover,658,Alabama,-86.8287,32.7794,Alaska,-152.2782,64.0685
Alabama,Alaska,out-mover,484,Alabama,-86.8287,32.7794,Alaska,-152.2782,64.0685
Alaska,Alaska,in-mover,0,Alaska,-152.2782,64.0685,Alaska,-152.2782,64.0685
Alaska,Alaska,out-mover,0,Alaska,-152.2782,64.0685,Alaska,-152.2782,64.0685
Arizona,Alaska,in-mover,2205,Arizona,-111.6602,34.2744,Alaska,-152.2782,64.0685
Arizona,Alaska,out-mover,1003,Arizona,-111.6602,34.2744,Alaska,-152.2782,64.0685
Arkansas,Alaska,in-mover,212,Arkansas,-92.4426,34.8938,Alaska,-152.2782,64.0685
Arkansas,Alaska,out-mover,215,Arkansas,-92.4426,34.8938,Alaska,-152.2782,64.0685
California,Alaska,in-mover,4011,California,-119.4696,37.1841,Alaska,-152.2782,64.0685
California,Alaska,out-mover,3243,California,-119.4696,37.1841,Alaska,-152.2782,64.0685
Colorado,Alaska,in-mover,1669,Colorado,-105.5478,38.9972,Alaska,-152.2782,64.0685
Colorado,Alaska,out-mover,1447,Colorado,-105.5478,38.9972,Alaska,-152.2782,64.0685
Connecticut,Alaska,in-mover,233,Connecticut,-72.7273,41.6219,Alaska,-152.2782,64.0685
Connecticut,Alaska,out-mover,52,Connecticut,-72.7273,41.6219,Alaska,-152.2782,64.0685
Delaware,Alaska,in-mover,144,Delaware,-75.505,38.9896,Alaska,-152.2782,64.0685
Delaware,Alaska,out-mover,61,Delaware,-75.505,38.9896,Alaska,-152.2782,64.0685
Florida,Alaska,in-mover,2220,Florida,-82.4497,28.6305,Alaska,-152.2782,64.0685
Florida,Alaska,out-mover,1425,Florida,-82.4497,28.6305,Alaska,-152.2782,64.0685
Georgia,Alaska,in-mover,1047,Georgia,-83.4426,32.6415,Alaska,-152.2782,64.0685
